id,title,image_url,content,url,created_at,latlng
3,Wae Rebo,https://www.indonesia.travel/content/dam/indtravelrevamp/user-generated-content/ugc-july-2020/gb-en/4.jpg,"<p>Covered by thin mist all over the village, Wae Rebo in Flores, East Nusa Tenggara is deservingly holding the title ""the town above the clouds"". Reach this truly fascinating traditional village from Labuan Bajo Airport through Ruteng City and then proceed to Denge Village before trekking for 4 hours to Wae Rebo. ğŸ“¸: <a href=""https://www.instagram.com/backpackertampan/"" rel=""noopener noreferrer"" target=""_blank"">@backpackertampan</a> <a href=""https://www.instagram.com/explore/tags/waerebo/"" rel=""noopener noreferrer"" target=""_blank"">#WaeRebo</a> <a href=""https://www.instagram.com/explore/tags/eastnusatenggara/"" rel=""noopener noreferrer"" target=""_blank"">#EastNusaTenggara</a> <a href=""https://www.instagram.com/explore/tags/indonesia/"" rel=""noopener noreferrer"" target=""_blank"">#Indonesia</a> <a href=""https://www.instagram.com/explore/tags/travel/"" rel=""noopener noreferrer"" target=""_blank"">#Travel</a> <a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a></p>",https://www.instagram.com/p/CCLXHikgJ3d/,2023-12-14 05:51:59.861172+00,"[-8.66418456766955,120.430755615234]"
9,Kenawa Island,https://www.indonesia.travel/content/dam/indtravelrevamp/user-generated-content/ugc-july-2020/gb-en/10.jpg,"<p>Let this picture from <a href=""https://www.instagram.com/sashajuliard/"" rel=""noopener noreferrer"" target=""_blank"">@sashajuliard</a> virtually transport you to Kenawa Island, West Nusa Tenggara while you keep lying in your bed and <a href=""https://www.instagram.com/explore/tags/stayathome/"" rel=""noopener noreferrer"" target=""_blank"">#StayatHome</a>. Donâ€™t worry. Soon you will be able to feel the tropical breeze touch your skin again. But right now, itâ€™s time to rest for a while and distance ourselves from the outside world while the Earth heals. <a href=""https://www.instagram.com/explore/tags/stayathome/"" rel=""noopener noreferrer"" target=""_blank"">#StayatHome</a> <a href=""https://www.instagram.com/explore/tags/traveltomorrow/"" rel=""noopener noreferrer"" target=""_blank"">#TravelTomorrow</a></p>",https://www.instagram.com/p/CNFNxt1gI2E/,2023-12-14 07:46:34.400283+00,"[-8.49865138931021,116.833049654961]"
1,Kelimutu,https://www.indonesia.travel/content/dam/indtravelrevamp/user-generated-content/ugc-july-2020/gb-en/2.jpg,"<p>Literally translated as ""the boiling lake"", Kelimutu has three craters that apparently change colors and alternating between green, red, and blue which always independent of one another. Located in Flores, East Nusa Tenggara, you can take public transportation from Moni, the closest small town, to get to the parking lot before Kelimutuâ€™s peak. From there, hike to see the otherworldly spectacle from the top of the world. ğŸ“·: <a href=""https://www.instagram.com/thefreedomcomplex/"" rel=""noopener noreferrer"" target=""_blank"">@thefreedomcomplex</a> <a href=""https://www.instagram.com/explore/tags/kelimutu/"" rel=""noopener noreferrer"" target=""_blank"">#Kelimutu</a> <a href=""https://www.instagram.com/explore/tags/eastnusatenggara/"" rel=""noopener noreferrer"" target=""_blank"">#EastNusaTenggara</a> <a href=""https://www.instagram.com/explore/tags/indonesia/"" rel=""noopener noreferrer"" target=""_blank"">#Indonesia</a> <a href=""https://www.instagram.com/explore/tags/travel/"" rel=""noopener noreferrer"" target=""_blank"">#Travel</a> <a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a></p>",https://www.instagram.com/wonderfulindonesia/,2023-12-14 05:47:04.21066+00,"[-8.70745619043768,122.001285552979]"
6,Pulo Cinta,https://www.indonesia.travel/content/dam/indtravelrevamp/user-generated-content/ugc-july-2020/gb-en/7.jpg,"<p>May this picture of Pulo Cinta in Gorontalo, by <a href=""https://www.instagram.com/backpackertampan/"" rel=""noopener noreferrer"" target=""_blank"">@backpackertampan</a>, remind you that love is still here, holding us together in these difficult times. Let your dearest ones know how much you love them. â€¢ Spark positivity during these hard times by sharing your past moments <a href=""https://www.instagram.com/explore/tags/wheninindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WheninIndonesia</a> on your social media. Donâ€™t forget to use hashtag <a href=""https://www.instagram.com/explore/tags/wheninindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WheninIndonesia</a> and mention us <a href=""https://www.instagram.com/indtravel/"" rel=""noopener noreferrer"" target=""_blank"">@indtravel</a> or add hashtag <a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a> for a chance to be featured. <a href=""https://www.instagram.com/explore/tags/stayathome/"" rel=""noopener noreferrer"" target=""_blank"">#StayatHome</a> <a href=""https://www.instagram.com/explore/tags/traveltomorrow/"" rel=""noopener noreferrer"" target=""_blank"">#TravelTomorrow</a> <a href=""https://www.instagram.com/explore/tags/thoughtfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#ThoughtfulIndonesia</a></p>",https://www.instagram.com/wonderfulindonesia/,2023-12-14 07:43:36.921271+00,"[0.477298938067199,122.346410751343]"
7,Mount Bromo,https://www.indonesia.travel/content/dam/indtravelrevamp/user-generated-content/ugc-july-2020/gb-en/8.jpg,"<p>Stood over 2,329 meters above the sea level and situated 35 kilometers away from the city of Malang, Mount Bromo might not be the tallest mountain in the entire Java, but it sure delivers an otherworldly spectacle. Climbing to the summit takes about 20-30 minutes depending on how quickly you can haul yourself up the sandy slope. Dare to try the challenging experience? A friendly reminder before visiting: a healthy lifestyle determines ğŸ“¸: <a href=""https://www.instagram.com/fedorovdmitry/"" rel=""noopener noreferrer"" target=""_blank"">@fedorovdmitry</a> <a href=""https://www.instagram.com/explore/tags/mountbromo/"" rel=""noopener noreferrer"" target=""_blank"">#MountBromo</a> <a href=""https://www.instagram.com/explore/tags/indonesia/"" rel=""noopener noreferrer"" target=""_blank"">#Indonesia</a> <a href=""https://www.instagram.com/explore/tags/travel/"" rel=""noopener noreferrer"" target=""_blank"">#Travel</a> <a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a></p>",https://www.instagram.com/wonderfulindonesia/,2023-12-14 07:44:31.746056+00,"[-7.94380633752696,112.953100204468]"
5,Raja Ampat,https://www.indonesia.travel/content/dam/indtravelrevamp/user-generated-content/ugc-july-2020/gb-en/6.jpg,"<p>Hereâ€™s a birdâ€™s-eye view picture of Raja Ampat, from <a href=""https://www.instagram.com/thetravelertwins/"" rel=""noopener noreferrer"" target=""_blank"">@thetravelertwins</a>, to inspire you to keep dreaming and never lose hope. The wait is coming to an end. Be a little stronger. Inspire people to make their own <a href=""https://www.instagram.com/explore/tags/indonesiabucketlist/"" rel=""noopener noreferrer"" target=""_blank"">#IndonesiaBucketList</a> by sharing your past travelling moments in Indonesia on your social media. Donâ€™t forget to use hashtag <a href=""https://www.instagram.com/explore/tags/indonesiabucketlist/"" rel=""noopener noreferrer"" target=""_blank"">#IndonesiaBucketList</a> and mention us <a href=""https://www.instagram.com/indtravel/"" rel=""noopener noreferrer"" target=""_blank"">@indtravel</a> or add hashtag <a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a> for a chance to be featured. <a href=""https://www.instagram.com/explore/tags/traveltomorrow/"" rel=""noopener noreferrer"" target=""_blank"">#TravelTomorrow</a> <a href=""https://www.instagram.com/explore/tags/stayathome/"" rel=""noopener noreferrer"" target=""_blank"">#StayatHome</a> <a href=""https://www.instagram.com/explore/tags/thoughtfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#ThoughtfulIndonesia</a></p>",https://www.instagram.com/wonderfulindonesia/,2023-12-14 07:42:35.237016+00,"[-0.263670944336663,130.542297363281]"
13,Borobudur,https://images.unsplash.com/photo-1689904575573-ac10f7edc6f9?w=720,"<p>Witness the beautiful morning light caress the legendary&nbsp;<a href=""https://www.instagram.com/explore/tags/borobudurtemple/"" rel=""noopener noreferrer"" target=""_blank"">#BorobudurTemple</a>!</p><p>Being a part of Indonesiaâ€™s most precious heritage, it's important to preserve the beauty of this magnificent temple. Here, you can discover plenty of interesting wonders. Have you checked out any of them? Tell us in the comments section.</p><p>ğŸ“:&nbsp;<a href=""https://www.instagram.com/explore/tags/magelang/"" rel=""noopener noreferrer"" target=""_blank"">#Magelang</a>,&nbsp;<a href=""https://www.instagram.com/explore/tags/centraljava/"" rel=""noopener noreferrer"" target=""_blank"">#CentralJava</a></p><p>ğŸ“·:&nbsp;<a href=""https://www.instagram.com/740aerialvideography/"" rel=""noopener noreferrer"" target=""_blank"">@740aerialvideography</a></p><p><a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a></p>",https://www.instagram.com/p/CelQoOGhPuH,2023-12-17 08:01:59.619169+00,"[-7.60800468485983,110.203825235367]"
4,Padar Island,https://www.indonesia.travel/content/dam/indtravelrevamp/user-generated-content/ugc-july-2020/gb-en/5.jpg,"<p>How are you doing? We hope you're holding up strong and waiting to fulfill your desire to travel. Let this picture of Padar Island, by <a href=""https://www.instagram.com/justkay/"" rel=""noopener noreferrer"" target=""_blank"">@justkay</a>, spark your inspiration. It might not be safe to travel right now, but planning for the future is always good. Inspire people to make their own <a href=""https://www.instagram.com/explore/tags/indonesiabucketlist/"" rel=""noopener noreferrer"" target=""_blank"">#IndonesiaBucketList</a> by sharing your past travelling moments in Indonesia on your social media. Donâ€™t forget to use hashtag <a href=""https://www.instagram.com/explore/tags/indonesiabucketlist/"" rel=""noopener noreferrer"" target=""_blank"">#IndonesiaBucketList</a> and mention us <a href=""https://www.instagram.com/indtravel/"" rel=""noopener noreferrer"" target=""_blank"">@indtravel</a> or add hashtag <a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a> for a chance to be featured. <a href=""https://www.instagram.com/explore/tags/traveltomorrow/"" rel=""noopener noreferrer"" target=""_blank"">#TravelTomorrow</a> <a href=""https://www.instagram.com/explore/tags/stayathome/"" rel=""noopener noreferrer"" target=""_blank"">#StayatHome</a> <a href=""https://www.instagram.com/explore/tags/thoughtfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#ThoughtfulIndonesia</a></p>",https://www.instagram.com/wonderfulindonesia/,2023-12-14 07:41:44.695+00,"[-8.66350575737836,119.555797576904]"
10,Kelingking Beach,https://www.indonesia.travel/content/dam/indtravelrevamp/user-generated-content/ugc-july-2020/gb-en/1.jpg,"<p>Witness this rare moment captured by <a href=""https://www.instagram.com/watchluke/"" rel=""noopener noreferrer"" target=""_blank"">@watchluke</a>; a monkey sitting in front of the landscape of Kelingking Beach in Nusa Penida. Nature has a way of showing us some extraordinary sights. So let it heal itself while you stay at home. Inspire people to make their own <a href=""https://www.instagram.com/explore/tags/indonesiabucketlist/"" rel=""noopener noreferrer"" target=""_blank"">#IndonesiaBucketList</a> by sharing your past travelling moments in Indonesia on your social media. Donâ€™t forget to use hashtag <a href=""https://www.instagram.com/explore/tags/indonesiabucketlist/"" rel=""noopener noreferrer"" target=""_blank"">#IndonesiaBucketList</a> and mention us <a href=""https://www.instagram.com/indtravel/"" rel=""noopener noreferrer"" target=""_blank"">@indtravel</a> or add hashtag <a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a> for a chance to be featured. <a href=""https://www.instagram.com/explore/tags/traveltomorrow/"" rel=""noopener noreferrer"" target=""_blank"">#TravelTomorrow</a> <a href=""https://www.instagram.com/explore/tags/stayathome/"" rel=""noopener noreferrer"" target=""_blank"">#StayatHome</a> <a href=""https://www.instagram.com/explore/tags/thoughtfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#ThoughtfulIndonesia</a></p>",https://www.instagram.com/p/CBSvt3PAVsO/,2023-12-14 07:47:53.330654+00,"[-8.7359512161439,115.45509159565]"
12,Mount Sumbing,https://images.unsplash.com/photo-1622635231200-259e6d0e0abb?q=80&w=720,"<p>Take a look at the vibrant foothills of&nbsp;<a href=""https://www.instagram.com/explore/tags/mountsumbing/"" rel=""noopener noreferrer"" target=""_blank"">#MountSumbing</a>&nbsp;and add some colors to your day! Located in&nbsp;<a href=""https://www.instagram.com/explore/tags/kaliangkrik/"" rel=""noopener noreferrer"" target=""_blank"">#Kaliangkrik</a>,&nbsp;<a href=""https://www.instagram.com/explore/tags/magelang/"" rel=""noopener noreferrer"" target=""_blank"">#Magelang</a>,&nbsp;<a href=""https://www.instagram.com/explore/tags/centraljava/"" rel=""noopener noreferrer"" target=""_blank"">#CentralJava</a>, this&nbsp;<a href=""https://www.instagram.com/explore/tags/mountain/"" rel=""noopener noreferrer"" target=""_blank"">#mountain</a>&nbsp;is an active volcano popular among mountain climbers. As can be seen from the picture taken by&nbsp;<a href=""https://www.instagram.com/herufadhill/"" rel=""noopener noreferrer"" target=""_blank"">@herufadhill</a>, incredible scenery surrounds Mount Sumbing. Have you ever explored a mountain surrounded by amazing views in Indonesia? Share your answer in the comments section.</p><p>ğŸ“¸ :&nbsp;<a href=""https://www.instagram.com/herufadhill/"" rel=""noopener noreferrer"" target=""_blank"">@herufadhill</a></p><p><a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 102, 204);"">#WonderfulIndonesia</a></p>",https://www.instagram.com/p/CZT8o7mhogG,2023-12-17 07:39:40.218938+00,"[-7.3820553725106,110.075840950012]"
15,Holbung Hill,https://images.unsplash.com/photo-1591284915748-bc48608e894d?w=500,"<p>Take me to the stunning Holbung Hill, North Sumatra please! This bird's-eye view captured by&nbsp;<a href=""https://www.instagram.com/hadipramono82/"" rel=""noopener noreferrer"" target=""_blank"">@hadipramono82</a>&nbsp;is absolutely breathtaking! Just look at its scenic sky and lush greenery, I'm falling in love already. ğŸ˜ You can catch the incredible sunrise or spend the night gazing at its starry sky. Whichever you prefer, Holbung Hill offers a tranquil escapade!</p><p><a href=""https://www.instagram.com/explore/tags/fromindonesiawithlove/"" rel=""noopener noreferrer"" target=""_blank"">#FromIndonesiawithLove</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a></p>",https://www.instagram.com/p/CIp_iTFA-f5/,2023-12-17 08:16:11.704572+00,"[2.53666937211339,98.7018585205078]"
16,Tumpak Sewu,https://images.unsplash.com/photo-1593901138884-02ee723a96f7?w=720,"<p>Java's waterfalls are a place straight out of a movie scene, where cinematic heaven comes to life! ğŸŒŠ</p><p>Each waterfall in Java, with its cascading waters and lush surroundings, feels like stepping onto a film set, where every moment is a frame-worthy spectacle. From hidden gems to majestic drops, Java's waterfalls are a dream for explorers and nature enthusiasts alike.</p><p>Ready to be swept away by their beauty?</p><p>ğŸ“Tumpak Sewu, Lumajang, East Java</p><p><a href=""https://www.instagram.com/explore/tags/wonderfuljourney/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulJourney</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/javawaterfalls/"" rel=""noopener noreferrer"" target=""_blank"">#JavaWaterfalls</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/cinematicnature/"" rel=""noopener noreferrer"" target=""_blank"">#CinematicNature</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/waterfallwonderland/"" rel=""noopener noreferrer"" target=""_blank"">#WaterfallWonderland</a>&nbsp;ğŸ¥ğŸƒğŸ’¦âœ¨</p>",https://www.instagram.com/p/C0f_RTMBpSJ/,2023-12-17 08:19:54.674482+00,"[-8.15983693386548,112.983055114746]"
17,Bromo Green Hills,https://images.unsplash.com/photo-1580575721984-fe16b6b2a87d?w=720,"<p>The beauty of Mount Bromo is like stepping into a surreal dream. Trekking through its landscapes on horseback, you'll feel as if you've been transported into an old movie scene.</p><p>Did you know that Bromo was chosen as the 3rd most beautiful National Park in the world according to the international travel site called Bounce?</p><p>ğŸ“Bromo Mountain, East Java</p><p><a href=""https://www.instagram.com/explore/tags/wonderfuljourney/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulJourney</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/bromoadventure/"" rel=""noopener noreferrer"" target=""_blank"">#BromoAdventure</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/epiclandscapes/"" rel=""noopener noreferrer"" target=""_blank"">#EpicLandscapes</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/timelesstravel/"" rel=""noopener noreferrer"" target=""_blank"">#TimelessTravel</a></p>",https://www.instagram.com/p/C0Vy519BZGJ/,2023-12-17 08:25:51.416394+00,"[-7.96335749656092,112.960052490234]"
18,Tabanan Bali,https://images.unsplash.com/photo-1584774148943-0116b853332a?w=720,"<p>Belimbing Village in Tabanan, Bali, is a treasure trove of stunning, untouched rice terraces. ğŸŒ¾ Witness their incredible layers weaving a lush green tapestry. Bali's hidden gem!</p><p>ğŸ“Tabanan, Bali</p><p><a href=""https://www.instagram.com/explore/tags/wonderfuljourney/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulJourney</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/riceterracebeauty/"" rel=""noopener noreferrer"" target=""_blank"">#RiceTerraceBeauty</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/balihiddengems/"" rel=""noopener noreferrer"" target=""_blank"">#BaliHiddenGems</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/lushgreenlayers/"" rel=""noopener noreferrer"" target=""_blank"">#LushGreenLayers</a></p>",https://www.instagram.com/p/Cz_dpvhBXTH/,2023-12-17 08:30:03.849935+00,"[-8.53977221340963,115.126419067383]"
35,Merapi,https://images.unsplash.com/photo-1535707798491-2303c91896a6?q=80&w=720,"<p>his photo of Mount Merapi&nbsp;is phenomenal! It absolutely captures the power and beauty of this incredible active volcano.</p><p>Weâ€™re glad to be a safe distance back to enjoy this spectacular view of nature in action! ğŸ˜…</p><p>A perfect reminder that&nbsp;<a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a>&nbsp;isnâ€™t just tropical beaches and beautiful ocean, but also showcases other incredible landscapes.</p>",https://www.instagram.com/p/Cp9R5GchfvG/,2023-12-18 04:59:52.609562+00,"[-7.54153992647478,110.44616818428]"
21,Mentawai Beach,https://images.unsplash.com/photo-1504682066999-90437076f0dd?q=80&w=720,"<p>Have you ever stumbled upon a hidden gem during your travels?</p><p>Welcome to Sabiret Beach in Mentawai, where pristine beaches meet unique landscapes.</p><p>Imagine strolling along the shore, where turquoise waters kiss your feet, and tilted coconut trees create a uniquely picturesque silhouette against the sky.</p><p>Accessible only by boat, this secluded paradise awaits your discovery. ğŸŒ´ğŸŒŠğŸ›¶</p><p>ğŸ“Sabiret Beach, Mentawai, West Sumatra</p><p><a href=""https://www.instagram.com/explore/tags/mentawaimagic/"" rel=""noopener noreferrer"" target=""_blank"">#MentawaiMagic</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/pantaiparadise/"" rel=""noopener noreferrer"" target=""_blank"">#PantaiParadise</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/secludedserenity/"" rel=""noopener noreferrer"" target=""_blank"">#SecludedSerenity</a></p>",https://www.instagram.com/p/CyivuZRhNyx/,2023-12-17 08:42:21.910086+00,"[-1.38139691058791,98.9016723632813]"
23,Merbabu,https://images.unsplash.com/photo-1685360594641-91fb52833b3b?q=80&w=720,"<p>Find serenity amidst nature's splendor at Merbabu Mountain, located in Central Java.</p><p>Let the harmonious murmur of the wind rustling through lush green leaves and the symphonic chirping of birds bring peace to your soul ğŸƒ.</p><p>Embrace the tranquility that rejuvenates both body and spirit as you hike through picturesque landscapes and immerse in the calming ambiance.</p><p>Don't miss this haven of peace on your next adventure.</p><p>ğŸ“Mount Merbabu, Central Java</p><p><a href=""https://www.instagram.com/explore/tags/wonderfulindonesia/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulIndonesia</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/wonderfuljourney/"" rel=""noopener noreferrer"" target=""_blank"">#WonderfulJourney</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/naturelovers/"" rel=""noopener noreferrer"" target=""_blank"">#NatureLovers</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/serenityseekers/"" rel=""noopener noreferrer"" target=""_blank"">#SerenitySeekers</a>&nbsp;<a href=""https://www.instagram.com/explore/tags/mountainadventures/"" rel=""noopener noreferrer"" target=""_blank"">#MountainAdventures</a></p>",https://www.instagram.com/p/CxcxZsQBQ46/,2023-12-17 09:03:36.129422+00,"[-7.45098595747723,110.439376831055]"
